2015-05-10_22:31:27 HA_CUL433_1 DISCONNECTED
2015-05-11_20:11:33 HA_CUL433_1 Initialized
2015-05-11_20:11:33 HA_CUL433_1 CONNECTED
2015-05-12_20:22:36 HA_CUL433_1 DISCONNECTED
2015-05-13_15:59:00 HA_CUL433_1 Initialized
2015-05-13_15:59:00 HA_CUL433_1 CONNECTED
2015-05-13_16:27:52 HA_CUL433_1 DISCONNECTED
2015-05-13_20:43:16 HA_CUL433_1 DISCONNECTED
2015-05-14_14:18:26 HA_CUL433_1 Initialized
2015-05-14_14:18:26 HA_CUL433_1 CONNECTED
2015-05-14_14:27:10 HA_CUL868_HM_1 DISCONNECTED
2015-05-14_14:30:05 HA_CUL868_HM_1 Initialized
2015-05-14_14:30:05 HA_CUL868_HM_1 CONNECTED
2015-05-21_21:12:59 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A01
2015-05-21_21:12:59 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A81
2015-05-21_21:17:00 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A01
2015-05-21_21:17:01 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A81
2015-05-21_21:21:12 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A01
2015-05-21_21:21:12 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A81
2015-05-21_21:25:24 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A01
2015-05-21_21:25:24 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A81
2015-05-21_21:29:36 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A01
2015-05-21_21:29:36 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A81
2015-05-21_21:33:48 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A01
2015-05-21_21:33:48 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A81
2015-05-21_21:38:00 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A01
2015-05-21_21:38:00 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A81
2015-05-21_21:42:12 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A01
2015-05-21_21:42:12 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A81
2015-05-21_21:46:24 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A01
2015-05-21_21:46:24 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A81
2015-05-21_21:50:36 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A01
2015-05-21_21:50:36 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A81
2015-05-21_21:54:48 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A01
2015-05-21_21:54:48 HA_CUL868_HM_1 UNKNOWNCODE T6EB19A81
2015-05-22_16:20:52 HA_CUL868_HM_1 DISCONNECTED
