2015-04-26_14:45:08 HA_Modbus_1 DISCONNECTED
2015-04-26_14:46:09 HA_Modbus_1 CONNECTED
2015-04-26_14:49:35 HA_SDM630M_1 Relay2_Energy_Type: 0
2015-04-26_14:49:37 HA_SDM630M_1 System_Type: 3p4w
2015-04-26_14:49:37 HA_SDM630M_1 System_Pulse_Width__ms: 100 ms
2015-04-26_14:49:37 HA_SDM630M_1 System_Password_Lock: locked
2015-04-26_14:49:37 HA_SDM630M_1 Modbus_Parity_Stop: 1stop.bit_no.parity
2015-04-26_14:49:38 HA_SDM630M_1 Voltage_L3__V: 0.0 V
2015-04-26_14:49:38 HA_SDM630M_1 Current_L1__A: 0.18 A
2015-04-26_14:49:38 HA_SDM630M_1 Current_L2__A: 0.00 A
2015-04-26_14:49:38 HA_SDM630M_1 Current_L3__A: 0.00 A
2015-04-26_14:49:38 HA_SDM630M_1 Power_L1__W: 43 W
2015-04-26_14:49:38 HA_SDM630M_1 Power_L2__W: 0 W
2015-04-26_14:49:38 HA_SDM630M_1 Power_L3__W: 0 W
2015-04-26_14:49:38 HA_SDM630M_1 Power_L1__VA: 43.0 VA
2015-04-26_14:49:38 HA_SDM630M_1 Power_L2__VA: 0.0 VA
2015-04-26_14:49:38 HA_SDM630M_1 Power_L3__VA: 0.0 VA
2015-04-26_14:49:38 HA_SDM630M_1 Power_L1__VAr: 0.0 VAr
2015-04-26_14:49:38 HA_SDM630M_1 Power_L2__VAr: 0.0 VAr
2015-04-26_14:49:38 HA_SDM630M_1 Power_L3__VAr: 0.0 VAr
2015-04-26_14:49:38 HA_SDM630M_1 PowerFactor_L1: 1.0
2015-04-26_14:49:38 HA_SDM630M_1 PowerFactor_L2: 1.0
2015-04-26_14:49:38 HA_SDM630M_1 PowerFactor_L3: 1.0
2015-04-26_14:49:38 HA_SDM630M_1 CosPhi_L1: -1.2 %
2015-04-26_14:49:38 HA_SDM630M_1 CosPhi_L2: 0.0 %
2015-04-26_14:49:38 HA_SDM630M_1 CosPhi_L3: 0.0 %
2015-04-26_14:49:38 HA_SDM630M_1 Voltage_Avr__V: 80.4 V
2015-04-26_14:49:38 HA_SDM630M_1 Power_Sum_demand__VA: 0.0 VA
2015-04-26_14:49:38 HA_SDM630M_1 Power_Max_demand__VA: 6986.9 VA
2015-04-26_14:49:38 HA_SDM630M_1 Current_N_demand__A: 0.00 A
2015-04-26_14:49:38 HA_SDM630M_1 Current_Max_N_demand__A: 0.50 A
2015-04-26_14:49:39 HA_SDM630M_1 Energy_L2_total__kWh: 0.000 kWh
2015-04-26_14:49:39 HA_SDM630M_1 Energy_L3_total__kWh: 0.000 kWh
2015-04-26_14:49:40 HA_SDM630M_1 CosPhi_L1: -1.0 %
2015-04-26_14:49:41 HA_SDM630M_1 THD_Current_L1__%: 0.0 %
2015-04-26_14:49:41 HA_SDM630M_1 THD_Current_L2__%: 0.0 %
2015-04-26_14:49:41 HA_SDM630M_1 THD_Current_L3__%: 0.0 %
2015-04-26_14:49:41 HA_SDM630M_1 THD_Voltage_avr_LN__%: 0.9 %
2015-04-26_14:49:41 HA_SDM630M_1 THD_Current_avr__%: 0.6 %
2015-04-26_14:49:41 HA_SDM630M_1 PowerFactor_inverted: -0.9
2015-04-26_14:49:41 HA_SDM630M_1 Current_L1_demand__A: 0.00 A
2015-04-26_14:49:41 HA_SDM630M_1 Power_Sum__VAr: 0.0 VAr
2015-04-26_14:49:41 HA_SDM630M_1 PowerFactor: 1.0
2015-04-26_14:49:41 HA_SDM630M_1 CosPhi: -0.9 %
2015-04-26_14:49:41 HA_SDM630M_1 Frequency__Hz: 50.0 Hz
2015-04-26_14:49:41 HA_SDM630M_1 Energy_import__kWh: 0.008 kWh
2015-04-26_14:49:41 HA_SDM630M_1 Energy_export__kWh: 0.000 kWh
2015-04-26_14:49:41 HA_SDM630M_1 Energy_import__kVArh: 0.000 kVArh
2015-04-26_14:49:41 HA_SDM630M_1 Energy_export__kVArh: 0.000 kVArh
2015-04-26_14:49:42 HA_SDM630M_1 Voltage_L2__V: 0.0 V
2015-04-26_14:49:42 HA_SDM630M_1 Power_L1__W: 44 W
2015-04-26_14:49:42 HA_SDM630M_1 Power_L1__VA: 43.9 VA
2015-04-26_14:49:45 HA_SDM630M_1 THD_Voltage_L1_L2__%: 0.0 %
2015-04-26_14:49:45 HA_SDM630M_1 THD_Voltage_L2_L3__%: 0.0 %
2015-04-26_14:49:45 HA_SDM630M_1 THD_Voltage_L3_L1__%: 0.0 %
2015-04-26_14:49:46 HA_SDM630M_1 System_Voltage__V: 220.0 V
2015-04-26_14:49:46 HA_SDM630M_1 System_Current__A: 10.00 A
2015-04-26_14:49:47 HA_SDM630M_1 Voltage_L1__V: 241.3 V
2015-04-26_14:49:49 HA_SDM630M_1 Current_L2_demand__A: 0.00 A
2015-04-26_14:49:49 HA_SDM630M_1 Current_L3_demand__A: 0.00 A
2015-04-26_14:49:49 HA_SDM630M_1 Current_Max_L1_demand__A: 10.33 A
2015-04-26_14:49:49 HA_SDM630M_1 Current_Max_L2_demand__A: 10.71 A
2015-04-26_14:49:49 HA_SDM630M_1 Current_Max_L3_demand__A: 10.39 A
2015-04-26_14:49:50 HA_SDM630M_1 Current_N__A: 0.17 A
2015-04-26_14:49:50 HA_SDM630M_1 THD_Voltage_L1_N__%: 2.4 %
2015-04-26_14:49:50 HA_SDM630M_1 THD_Voltage_L2_N__%: 0.0 %
2015-04-26_14:49:52 HA_SDM630M_1 Power_L1__VA: 43.6 VA
2015-04-26_14:49:53 HA_SDM630M_1 Demand_Time__minutes: 60 min
2015-04-26_14:49:57 HA_SDM630M_1 Voltage_L1_to_L2__V: 241.2 V
2015-04-26_14:49:57 HA_SDM630M_1 Voltage_L2_to_L3__V: 0.0 V
2015-04-26_14:49:57 HA_SDM630M_1 Voltage_L3_to_L1__V: 241.2 V
2015-04-26_14:49:57 HA_SDM630M_1 Voltage_Avr_L_to_L__V: 160.8 V
2015-04-26_14:49:57 HA_SDM630M_1 Energy_apparent__kVAh: 0.009 kVAh
2015-04-26_14:49:57 HA_SDM630M_1 Charge__kAh: 0.047 kAh
2015-04-26_14:49:57 HA_SDM630M_1 Power_Sum_demand__W: 0.0 W
2015-04-26_14:49:57 HA_SDM630M_1 Power_Max_demand__W: 6953.1 W
2015-04-26_14:49:58 HA_SDM630M_1 Modbus_Node_adr: 1
2015-04-26_14:49:58 HA_SDM630M_1 Pulse_Divisor_1: 0
2015-04-26_14:49:58 HA_SDM630M_1 System_Password: 1000
2015-04-26_14:49:58 HA_SDM630M_1 Modbus_Speed__baud: 9600
2015-04-26_14:49:58 HA_SDM630M_1 Demand_Period__minutes: 60 min
2015-04-26_14:50:00 HA_SDM630M_1 System_Power__W: 6600 W
2015-04-26_14:50:00 HA_SDM630M_1 System_Serial_Nr: 66541387055940948197376
2015-04-26_14:50:02 HA_SDM630M_1 Current_Avr__A: 0.1 V
2015-04-26_14:50:02 HA_SDM630M_1 Current_Sum__A: 0.33 A
2015-04-26_14:50:02 HA_SDM630M_1 Power_Sum__W: 43.7 W
2015-04-26_14:50:02 HA_SDM630M_1 Power_Sum__VA: 43.7 VA
2015-04-26_14:50:03 HA_SDM630M_1 THD_Voltage_avr_LL__%: 0.0 %
2015-04-26_14:50:03 HA_SDM630M_1 Energy_total__kWh: 0.008 kWh
2015-04-26_14:50:03 HA_SDM630M_1 Energy_total__kVArh: 0.000 kVArh
2015-04-26_14:50:03 HA_SDM630M_1 Energy_L1_import__kWh: 0.008 kWh
2015-04-26_14:50:03 HA_SDM630M_1 Energy_L2_import__kWh: 0.000 kWh
2015-04-26_14:50:03 HA_SDM630M_1 Energy_L3_import__kWh: 0.000 kWh
